chromatin_remodeler,synonyms
CHD4,"MI2-BETA, SIHIWES, CHD-4, MI-2B"
SS18,"SYT, SSXT"
SETDB1,"KG1T, ESET, TDRD21, H3-K9-HMTASE4, KMT1E"
FOXA1,"HNF3A, TCF3A"
GATAD2A,P66ALPHA
CHEK1,CHK1
PCID2,F10
TTI1,"SMG-10, KIAA0406"
HP1BP3,"HP1BP74, HP1-BP74"
ACTL6B,"arpNalpha, BAF53B"
SETD7,"SET7/9, KMT7, SET9"
SIRT2,"SIR2, SIR2L, SIR2L2"
PRIMPOL,"Primpol1, CCDC111, MYP22"
ASF1A,"CGI-98, HSPC146, CIA"
RSF1,"RSF-1, HBXAP, XAP8, P325"
UBR5,"HYD, DD5, EDD, EDD1"
MBD2,"DMTASE, NY-CO-41"
TAF6L,PAF65A
KDM1A,"BHC110, LSD1, CPRF, AOF2, KDM1"
IWS1,
GET1,
WAC,"Wwp4, BM-016, PRO1741, DESSH"
BAZ1B,"WSTF, WBSCR9, WBSCR10"
PWWP2A,MST101
TFPT,"FB1, INO80F, AMIDA"
HDGFL3,
MCRS1,"ICP22BP, MSP58, MCRS2, P78, INO80Q"
PARP2,"PARP-2, ADPRTL3, PADPRT-2, ARTD2, ADPRTL2, ADPRT2"
ACTB,"PS1TP5BP1, BRWS1"
RUVBL2,"INO80J, TIP49B, TIH2, TIP48, TAP54-beta, REPTIN, CGI-46, RVB2, ECP-51, ECP51"
HIRA,"TUPLE1, TUP1, DGCR1"
BRDT,"CT9, SPGF21, BRD6"
GATAD1,"RG083M05.2, CMD2B, ODAG"
MECOM,"EVI1, MDS1-EVI1, PRDM3, RUSAT2, MDS1, KMT8E"
MTA3,
CTCF,MRD21
KDM2B,"JHDM1B, PCCX2, CXXC2, FBXL10, FBL10"
YY1,"UCRBP, INO80S, YIN-YANG-1, GADEVS"
NPM2,
PADI4,"PDI5, PAD4, PADI5, PAD, PDI4"
KDM4A,"TDRD14A, JMJD2, JMJD2A, JHDM3A"
SFPQ,"POMP100, PPP1R140"
IFI16,"IFNGIP1, PYHIN2"
